Transaction date,USD_to_NTD,USD_to_HKD,NTD_to_USD,HKD_to_USD
2017-05-15,30.180315,7.793708,0.033134,0.128309
2017-06-15,30.229658,7.798617,0.033080,0.128228
2017-07-14,30.385474,7.808523,0.032910,0.128065
2017-08-15,30.302589,7.821275,0.033000,0.127856
2017-09-15,30.108314,7.813213,0.033213,0.127988
2017-10-16,30.169075,7.806570,0.033147,0.128097
2017-11-15,30.178274,7.803378,0.033136,0.128150
2017-12-15,30.008605,7.809169,0.033324,0.128055
2018-01-16,29.540189,7.823869,0.033852,0.127814
2018-02-13,29.396916,7.819608,0.034017,0.127884
2018-03-15,29.203861,7.840220,0.034242,0.127547
2018-04-13,29.316712,7.849863,0.034110,0.127391
2018-05-15,29.821746,7.849533,0.033533,0.127396
2018-06-18,30.151043,7.849271,0.033166,0.127400
2018-07-13,30.505402,7.848782,0.032781,0.127408
2018-08-17,30.767509,7.849587,0.032502,0.127395
2018-09-14,30.720547,7.848077,0.032552,0.127420
2018-10-15,30.909915,7.834952,0.032352,0.127633
2018-11-15,30.778569,7.830991,0.032490,0.127698
2018-12-15,30.865448,7.812204,0.032399,0.128005
2019-01-15,30.852723,7.842782,0.032412,0.127506
2019-02-19,30.835029,7.847578,0.032431,0.127428
2019-03-15,30.934085,7.849709,0.032327,0.127393
2019-04-16,30.868811,7.840521,0.032395,0.127543
2019-05-16,31.090751,7.849430,0.032164,0.127398
2019-06-14,31.477438,7.829151,0.031769,0.127728
2019-07-15,31.060203,7.825619,0.032196,0.127785
2019-08-15,31.376476,7.845539,0.031871,0.127461
2019-09-13,30.851768,7.825463,0.032413,0.127788
2019-10-15,30.610755,7.845151,0.032668,0.127467
2019-11-14,30.476519,7.828296,0.032812,0.127742
2019-12-13,30.202619,7.805591,0.033110,0.128113
2020-01-15,29.918355,7.776997,0.033424,0.128584
2020-02-14,30.006437,7.767135,0.033326,0.128748
2020-03-16,30.136814,7.763760,0.033182,0.128804
2020-04-15,30.041520,7.751502,0.033287,0.129007
2020-05-15,29.891126,7.751179,0.033455,0.129013
2020-06-15,29.644271,7.750064,0.033733,0.129031
2020-07-15,29.404674,7.751144,0.034008,0.129013
2020-08-14,29.353695,7.750244,0.034067,0.129028
2020-09-15,29.249312,7.750260,0.034189,0.129028
2020-10-15,28.724645,7.750667,0.034813,0.129021
2020-11-13,28.452522,7.753982,0.035146,0.128966
2020-12-14,28.182314,7.751327,0.035483,0.129010
2021-01-15,28.009078,7.753245,0.035703,0.128978
2021-02-16,27.993503,7.752764,0.035723,0.128986
2021-03-15,28.171216,7.763053,0.035497,0.128815
2021-04-15,28.358275,7.765949,0.035263,0.128767
2021-05-12,27.913278,7.768510,0.035825,0.128725
2021-06-15,27.641307,7.762079,0.036178,0.128831
2021-07-15,27.981007,7.766399,0.035739,0.128760
2021-08-15,27.857756,7.783102,0.035897,0.128483
2021-09-15,27.652852,7.779431,0.036163,0.128544
2021-10-15,28.010923,7.779195,0.035700,0.128548
2021-11-15,27.815856,7.791641,0.035951,0.128343
2021-12-14,27.763992,7.801874,0.036018,0.128174
2022-01-14,27.571703,7.787753,0.036269,0.128407
2022-02-14,27.914233,7.800899,0.035824,0.128190
2022-03-15,28.537077,7.828936,0.035042,0.127731
2022-04-15,28.990158,7.842522,0.034494,0.127510
2022-05-13,29.837412,7.850054,0.033515,0.127388
2022-06-15,29.597639,7.850214,0.033786,0.127385
2022-07-15,29.933128,7.849819,0.033408,0.127391
2022-08-15,29.962107,7.838715,0.033375,0.127572
2022-09-15,31.094940,7.848940,0.032160,0.127406
2022-10-14,31.867354,7.850305,0.031380,0.127384
2022-11-15,30.908603,7.836368,0.032353,0.127610
2022-12-15,30.505245,7.775651,0.032781,0.128607
2023-01-13,30.346228,7.808376,0.032953,0.128068
2023-02-15,30.255558,7.848855,0.033052,0.127407
2023-03-15,30.397416,7.848376,0.032898,0.127415
2023-04-14,30.460875,7.849790,0.032829,0.127392
2023-05-12,30.730138,7.836938,0.032541,0.127601
2023-06-15,30.745695,7.830598,0.032525,0.127704
2023-07-14,30.967024,7.821434,0.032292,0.127854
2023-08-14,31.919220,7.817508,0.031329,0.127918
2023-09-15,31.888880,7.829115,0.031359,0.127728
2023-10-13,32.196810,7.823685,0.031059,0.127817
2023-11-14,32.265546,7.808664,0.030993,0.128063
2023-12-13,31.492755,7.809278,0.031753,0.128053
2024-01-16,31.232976,7.823019,0.032017,0.127828
2024-02-15,31.367516,7.818412,0.031880,0.127903
2024-03-14,31.434787,7.823149,0.031812,0.127826
2024-04-15,32.281729,7.837855,0.030977,0.127586
2024-05-16,32.037704,7.807877,0.031213,0.128076
2024-06-13,32.209766,7.808368,0.031046,0.128068
2024-07-15,32.567255,7.807533,0.030706,0.128081
2024-08-14,32.315008,7.788688,0.030945,0.128391
2024-09-13,32.118187,7.802331,0.031135,0.128167
2024-10-15,32.171669,7.762773,0.031083,0.128820
2024-11-15,32.566257,7.781475,0.030707,0.128510
2024-12-13,32.479906,7.775161,0.030788,0.128615
2025-01-15,32.970433,7.787057,0.030330,0.128418
2025-02-13,32.876956,7.789395,0.030416,0.128380
2025-03-14,32.983337,7.771876,0.030318,0.128669
2025-04-16,32.501519,7.757466,0.030768,0.128908
2025-05-15,30.353031,7.803635,0.032946,0.128145
2025-06-14,29.530939,7.849269,0.033863,0.127400
2025-07-16,29.412359,7.849618,0.033999,0.127395
2025-08-15,30.095067,7.834566,0.033228,0.127639
2025-09-16,30.206812,7.780043,0.033105,0.128534
2025-10-15,30.700933,7.773900,0.032572,0.128636
2025-11-14,31.145507,7.770731,0.032107,0.128688
2025-12-12,31.198718,7.782012,0.032053,0.128501
2026-01-14,31.634766,7.801098,0.031611,0.128187
2026-02-10,31.574637,7.815144,0.031671,0.127957
2026-02-12,31.354478,7.816194,0.031893,0.127940
2026-03-12,31.835001,7.825402,0.031412,0.127789
2026-04-15,31.548298,7.833834,0.031697,0.127651
2026-05-14,31.575191,7.829365,0.031670,0.127724
2026-06-07
